tweet,y
"[-0.16756459 -0.25380713  0.00172649 -0.08369049 -0.22399782  0.20808724
  0.32793194  0.25687686 -0.63811296  0.1444844  -0.13502197 -0.19485968
 -0.11582849  0.15643717 -0.1802105   0.3745993   0.04361283  0.45767844
  0.03644767 -0.26202387  0.14840554 -0.12110185 -0.03797805 -0.02174831
  0.24431041 -0.07622149 -0.19728065  0.404444   -0.30002266 -0.14585079
 -0.10742177  0.00653638 -0.01638357  0.43573913  0.2430349   0.35126638
 -0.27809167  0.04216615  0.09458364 -0.11306334  0.19741681 -0.15791202
  0.0206983  -0.27452028  0.34440574 -0.07615999 -0.01213589 -0.18372329
  0.3513527  -0.11544123]",0
"[-0.0141285  -0.09096924 -0.49570632 -0.09447087 -0.58440065 -0.23019637
 -0.24819703  0.32450408 -0.69066685  0.0774494   0.02592657 -0.45875975
  0.2741241  -0.11704063  0.37108317  0.00264008 -0.16350216 -0.93440324
 -0.30124575 -0.13624585  0.34024933  0.25071457  0.43966416 -0.2916591
 -0.76398844  0.25304362  0.05505892  0.2771132  -0.00995712 -0.0117797
  0.5668004  -0.32526436 -0.10614187  0.31234393  0.24412067  0.40972182
 -0.6450795   0.5305443  -0.08698457 -0.2363419   0.7134861  -0.13528086
 -0.32034227 -0.4338295   0.41176197  0.36705783 -0.06800491  0.31355056
 -0.13972151  0.08965819]",0
"[-0.42473194 -0.5366614  -0.03413643 -0.35688958  0.05250181  0.43004507
  0.4745248   0.79490095 -0.40970227  0.44913676  0.04342444 -0.13426107
 -0.3448889   0.74910444  0.49142867 -0.13592534  0.3278854  -0.62803113
 -0.01252112 -0.21832474  1.2154943  -0.48687544  0.13288309  0.94725996
 -1.2179251   0.40431485 -0.6793443  -0.2824539   0.01126316 -0.8259326
  0.48190928  0.33200964 -0.00430731  0.29763448  0.29203367 -0.37620738
  0.6252747   0.39816958 -0.29984254  0.16614978 -0.8058781  -0.4683016
  0.5124158  -0.09666374  0.7500806  -0.37835208 -1.126037   -0.7690755
  1.1979351  -0.02226818]",0
"[ 0.06222841  0.02009614  0.05173865  0.1391205   0.06625694 -0.30645373
  0.22043113  0.2638753  -0.3214562  -0.17398714  0.13556519 -0.10224051
  0.0276846  -0.10583494  0.06363963  0.1227348   0.26603252 -0.11844848
 -0.26571885 -0.1435793   0.05667109  0.14251691  0.04776899 -0.05472859
  0.05422534  0.0209311  -0.08194113 -0.10783862 -0.16501342 -0.05516861
 -0.1183197   0.07860241 -0.04327741  0.05923503  0.02219092  0.18008997
  0.02670341 -0.00629036 -0.00339942 -0.05302233  0.06684989 -0.0438243
  0.0617246  -0.13070469  0.23057105  0.10151485  0.16910586 -0.15941344
 -0.13940027  0.24634509]",0
"[-1.5607463e-02  7.8439993e-01 -1.3763020e-02 -5.2206069e-03
 -8.8896471e-01 -2.8946021e-01  8.2333934e-01  8.0167311e-01
  3.5789374e-01  2.8345695e-01 -2.4707432e-01 -9.1853344e-01
  3.5565379e-01 -3.4889659e-01 -1.1057574e+00  3.8746321e-01
  1.2685703e-01 -7.8818446e-01  5.5548966e-01 -9.5824045e-01
 -1.6450359e-01 -3.6194918e-01  3.9694047e-01 -1.8672308e-02
 -6.5655434e-01  6.3585150e-01 -4.3776414e-01 -4.8448376e-02
 -3.8430072e-02 -1.8781248e-01 -2.0620817e-01 -2.8883915e-05
  2.3986399e-01  1.2845113e+00  3.0936554e-01  1.2517278e+00
  7.3963803e-01 -2.9706657e-01 -1.2298602e+00  1.8146510e-01
  9.3905866e-01 -1.8638888e-01 -3.1737316e-01 -7.7188215e-03
  9.5733754e-02  4.3381584e-01 -2.9728362e-01  9.7183168e-01
 -3.3327258e-01 -1.6686070e-01]",0
"[ 0.1437726  -0.00832112  0.24646358 -0.04977947 -0.01468897 -0.2997415
  0.4231246   0.49550793 -0.27510476 -0.38336533  0.09255856 -0.11146136
  0.21810754  0.09993491  0.02250894 -0.40772718  0.08030793 -0.17618434
 -0.17242955 -0.25925985 -0.3127331   0.10470408  0.0894879   0.40480098
  0.19628169  0.06917037 -0.0705446  -0.4229853  -0.300217   -0.10826393
  0.12051383 -0.01067174  0.07806946  0.21940978 -0.07409991  0.19737722
  0.06836368 -0.10351856  0.00997946  0.26590976  0.01572908 -0.08045334
 -0.48205984 -0.03382288  0.2739477   0.12664217 -0.6178707   0.37150812
  0.02411341 -0.2815083 ]",0
"[ 5.4742046e-02  7.1585990e-02 -6.6739537e-02  2.5044128e-01
  1.3774328e-01 -1.1809158e-01  2.2029193e-01  2.8715682e-01
 -1.6907591e-01 -1.7849572e-01  6.0369883e-02 -2.7935463e-01
 -4.5742667e-03 -3.3566229e-02 -1.8301396e-01  2.4653660e-01
  3.6559278e-01  9.7095802e-02 -2.5152758e-01 -1.6242063e-01
  1.1483926e-01  9.1556229e-02  1.3993344e-01  5.4786480e-03
  1.2217724e-01  1.4511549e-01 -9.3859822e-02 -2.6466114e-02
 -2.3503320e-02  5.5061389e-02  1.1270392e-01  3.9529882e-02
 -6.6405326e-02 -5.2911468e-02 -5.9567496e-02  1.7877334e-01
  4.3841802e-02 -2.8924765e-02  3.9024163e-02 -3.1987086e-02
 -8.9390315e-02 -2.0470855e-01  1.4015141e-02 -2.9581067e-01
  4.0326339e-01  1.0091749e-01 -7.0373490e-02 -1.3581912e-01
 -1.8057237e-04  1.4234239e-01]",0
"[ 0.23935327 -0.27494898  0.3203835   0.3087837  -0.19156702 -0.52005833
  0.38358986  0.15933171 -0.48254925  0.31386214 -0.06811405 -0.7730558
 -0.3580103   0.77961206  0.09743966  0.987667    0.03929692 -0.9234802
 -0.4451273   0.0517899  -0.02740058  0.14575504 -0.06319895 -0.542797
  0.5435943   0.544974    0.02990271  0.20580383  0.07483322 -0.2857601
  0.32347462 -0.0178756   0.22850826 -0.35859346 -0.01372393  1.304796
  0.8684878  -0.11363     0.20198768 -0.15719743  0.46099144 -0.5134081
 -0.55062366  0.19666706  0.58416706  0.37878802  0.5463715  -0.1871357
  0.17918968  0.2231497 ]",0
"[-0.10997692  0.3096803   0.0071757  -0.06227085  0.21980326 -0.21516654
 -0.10978818  0.09568673 -0.27225044 -0.28508186  0.00752605  0.07763778
 -0.30610594  0.00708344 -0.16544083  0.26294687 -0.4068137  -0.10882557
  0.115981   -0.37865296 -0.11972777 -0.12430632  0.37004182  0.22931893
 -0.07541543 -0.11781917  0.19160311 -0.13925394 -0.13814075 -0.24016233
 -0.27173033 -0.11720034 -0.01861815 -0.07226851  0.18976104  0.5081907
  0.2006208  -0.0038756  -0.12261193  0.04562643  0.16507651  0.07300441
 -0.0971764  -0.07696403  0.2566961   0.00082261  0.49808443 -0.12203993
  0.38053977 -0.01472562]",0
"[-0.39370605  0.22923796  0.4451299  -0.04913547 -0.5806504   0.36169717
  0.20906141  0.33408728  0.26377067  0.7655978  -0.4290633  -0.3268696
 -0.18773882  0.07055409 -0.25172812  0.46175173  0.6352365   0.11211318
 -0.55075806 -0.26099777  0.32384625 -0.45130247  0.1512069   0.22568534
 -0.15813255 -0.02793245  0.03946829  0.04493007 -0.03698723 -0.19935864
 -0.09643158 -0.26609436  0.03020513  0.10498887  0.14847483  0.10460477
 -0.00815271  0.0264804  -0.08189804 -0.2034278  -0.0282548   0.39328867
  0.07642329 -0.25433186  0.43867096  0.15262356 -0.18040654  0.08905598
  0.44801733  0.16279681]",0
