Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Conservadores Pará,@PaConservadores,2021-01-31T23:59:29.000Z,"Após denúncia de furar a fila da vacina contra a covid-19, coordenadores da Divisa em Santarém pedem exoneração.",,https://pbs.twimg.com/media/EtGVFwzXAAEpSbN?format=jpg&name=small,,5,13
Carlos R.,@CarlosR36450250,2021-01-31T23:55:10.000Z,Para que essa vontade imensa de vacina?,,https://pbs.twimg.com/media/EtGUiN8XYAMWcvB?format=jpg&name=medium,,2,4
VEJA,@VEJA,2021-01-31T23:42:26.000Z,"Brasil é um dos países que mais vacinam contra a Covid por dia 
https://veja.abril.com.br/saude/brasil-e-um-dos-paises-que-mais-vacinam-contra-a-covid-por-dia/…",,https://pbs.twimg.com/media/EtGRnb7XYAEzpuG?format=jpg&name=small,148,121,936
G.Kaos Nerd,@GersonKaosNerd,2021-01-31T23:55:35.000Z,"Eu fico imaginando a ansiedade do Bozo esperando o peru virar jacaré.
#ForaBolsonaro
#BolsonaroGenocida","Comentar o Tweet
Louis-Eugène Varlin
@worgtal
 · 31 de jan
Mais um para a irmandade. #COVID19 twitter.com/cynaramenezes/…",https://pbs.twimg.com/profile_images/1155257506463199232/CtiUgWeX_mini.jpg,,,1
"Denise Garrett, MD - VACINA JÁ",@dogarrett,2021-01-31T23:52:54.000Z,"O Ministro da Saúde da África do Sul anuncia a compra de 20 milhões de doses da vacina da Pfizer.
Vou repetir:
A África do Sul comprou 20 milhões de doses da vacina da Pfizer. 
É esse o tuíte.","Report: SA orders 20 million Pfizer vaccines
A first shipment of AstraZeneca/Oxford jabs produced in India is due to arrive on Monday, with injections expected to start two weeks later.
ewn.co.za",https://pbs.twimg.com/card_img/1360114820473884675/3iTBbm7k?format=jpg&name=240x240,18,179,"1,2 mil"
O Globo Brasil,@OGloboPolitica,2021-01-31T23:45:47.000Z,"Manifestantes fazem protestos pelo impeachment de 
@jairbolsonaro
 e de apoio à vacinação. https://glo.bo/3r3zV3S",,https://pbs.twimg.com/media/EtGSXomXEAQnua4?format=jpg&name=small,37,42,333
mariana,@fckngz,2021-01-31T23:59:13.000Z,"rindo disso aqui sobre a karol conka: como se acha o insumo da vacina da covid, nao passa da seringa descartada !!",,https://pbs.twimg.com/media/EtGVdYuW8AMMlZp?format=jpg&name=900x900,,,13
Jornal de Notícias,@JornalNoticias,2021-01-31T23:52:03.000Z,Vacina covid em Israel mostra taxa extremamente baixa de infeções http://dlvr.it/Rrl1Hp,,https://pbs.twimg.com/media/EtGT0nBVEAEDW_u?format=jpg&name=small,,12,34
Iza Dias - Fora golpistas,@izadora_diass,2021-01-31T23:58:03.000Z,"“Meu corpo, minhas regras” só serve para esquerda identitária

Enquanto Doria faz propaganda eleitoral com a vacina, um setor da esquerda apoia medidas ditatoriais contra a população

https://causaoperaria.org.br/meu-corpo-minhas-regras-so-serve-para-esquerda-identitaria/…",,https://pbs.twimg.com/media/EtGVMadXMAM1c48?format=jpg&name=small,1,6,11
LUA,@LuaLubra23,2021-01-31T23:48:03.000Z,"#Fantastico 
Queremos vacina e não compra de votos que é mais um crime do #StopDerrubaBolsonaro","Comentar o Tweet
Jennifer Giacomet
@JeGiacomet
 · 31 de jan
3 bilhões para votarem no Lira pagariam 30 milhões de doses de vacina.  
O Brasil está quebrado. 
Moralmente quebrado.

#StopBolsonaroMundial",https://pbs.twimg.com/profile_images/1361445672130662401/2PsoNpM1_mini.jpg,,,3
