Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
pitbull treinado doutrinado vacinado e capacitado水,,2020-12-31T23:56:17.000Z,"feliz ano novo meus amores

lembrem que jacaré que dorme vira polo",,https://pbs.twimg.com/media/Eqmrdr-XYAEF0gj?format=jpg&name=small,1,,8
Carol ConCê,@Carolina_Skb,2020-12-31T23:57:27.000Z,FELIZ ANO NOVO PORRA!!!! VEM VACINA!!!,,https://pbs.twimg.com/media/EqmrxMMXMAAl5xg?format=jpg&name=small,,1,6
Jornalismo TV Cultura,@jornal_cultura,2020-12-31T23:54:25.000Z,"A Organização Mundial da Saúde (OMS) concedeu, nesta quinta-feira (31), ao imunizante desenvolvido pela Pfizer e pela BioNTech a primeira aprovação emergencial para o uso de uma vacina.","OMS emite primeira validação de uso emergencial à vacina da Pfizer
Especialistas em regulação convocados e equipes próprias da OMS revisaram dados sobre a segurança, eficácia e qualidade da vacina
cultura.uol.com.br",https://pbs.twimg.com/card_img/1361297301126447105/NZce4ELd?format=jpg&name=small,1,3,32
Dancing With The Devil,@eucrisgodoy,2020-12-31T23:57:23.000Z,As pessoas amanhã vendo que nada mudou e que o corona segue firme por aí:,,https://pbs.twimg.com/media/EqmrwTwXIAUSsHe?format=jpg&name=small,,5,45
Ronaldo,@MinduimYLibros,2020-12-31T23:59:06.000Z,"Feliz Ano Novo, pessoal!!! Que 2021 traga muita paz, amor, esperança, saúde e vacina!!! E que todos os nossos sonhos se realizem!!! Obrigado pela companhia e amizade durante a quarentena e continuem se cuidando!!! Se precisarem de mim, sabem que podem contar sempre!!! ",,https://pbs.twimg.com/ext_tw_video_thumb/1344795129979301890/pu/img/OHyN2b6JXc0m9DWM.jpg,10,2,36
Solar,@Solar_Direita,2020-12-31T23:54:07.000Z,Doria prorroga quarentena até fevereiro- DORIA+TERROR=VACINA,"Doria prorroga quarentena até fevereiro
O governo de São Paulo publicou no Diário Oficial do Estado desta quinta-feira (31) o decreto 65.437 que estende até 7 de fevereiro a quarentena por conta
republicadecuritiba.net",https://pbs.twimg.com/card_img/1362604864388407296/Bx6A_0tu?format=jpg&name=small,,2,5
TV Cultura,@tvcultura,2020-12-31T23:54:37.000Z,"A Organização Mundial da Saúde (OMS) concedeu, nesta quinta-feira (31), ao imunizante desenvolvido pela Pfizer e pela BioNTech a primeira aprovação emergencial para o uso de uma vacina.","OMS emite primeira validação de uso emergencial à vacina da Pfizer
Especialistas em regulação convocados e equipes próprias da OMS revisaram dados sobre a segurança, eficácia e qualidade da vacina
cultura.uol.com.br",https://pbs.twimg.com/card_img/1361297301126447105/NZce4ELd?format=jpg&name=small,,,19
𝔏𝔲𝔠𝔞𝔰,@Lucoooos,2020-12-31T23:51:56.000Z,morre corona caralho inferno,,https://pbs.twimg.com/media/Eqmqf2bXAAIeg7h?format=jpg&name=small,4,2,30
brenda,@beucaldas,2020-12-31T23:59:25.000Z,"meu maior desejo pra 2021 (além da vacina, claro) é que as pessoas tenham mais consciência. social e de classe. que consigam pensar mais no coletivo e se enxergar como parte do todo. nós somos o problema. espero que sejamos tbm a solução. 
 feliz ano novo ",GIF,https://pbs.twimg.com/tweet_video_thumb/EqmsNvAXYAEX8z3.jpg,,,2
Lito Santos,@JoselitoRochad3,2020-12-31T23:58:36.000Z,"Jane Bittencourt Confeitaria, desejamos a todos 2021 harmonia, vacina e saúde.",,https://pbs.twimg.com/media/EqmsBqXWMAECrU_?format=jpg&name=medium,,1,2
h,@sailorhlo,2020-12-31T23:54:20.000Z,feliz ano novo amigos que 2021 seja bom tenha vacina e alegria pra todos !,,https://pbs.twimg.com/media/EqmrDegXMAAbgIf?format=jpg&name=small,1,,6
Matheus,@mcsmonte,2020-12-31T23:57:15.000Z,"2020 que ano filha da puta! Vai timbora ! 

2021.... vamos de boa... 

Feliz ano novo moçada que tudo melhore, a vacina chegue e o salnorabo caia! 

//

Happy new year everyone! 2020 was not the best year, but I really hope that 2021 will be easy with us!",,https://pbs.twimg.com/media/EqmruPYXMAAOVyH?format=jpg&name=medium,,,5
CEemPortugal,@CE_PTrep,2020-12-31T23:59:00.000Z,"Olá 2021, adeus COVID19! 
Quais são os seus desejos para 2021?
Nós gostaríamos de abraçar os nossos familiares sem nos preocupar!
A vacinação contra COVID-19 teve início a 27 de dezembro de 2020 em toda a União Europeia » http://ec.europa.eu/covid-19-vaccines…
#StrongerTogether #VaccinesWork",,https://pbs.twimg.com/media/EqkP_1SXMAwu-U7?format=jpg&name=small,,1,6
Piadas NFL,@piadas_nfl,2020-12-31T23:57:12.000Z,"2020 foi um ano difícil, mas chegamos até ao final e já vamos iniciar 2021.

Agradeço a todos vocês que nos acompanharam nas nossas redes durante esse ano. Amo vocês pra caramba! 
Que 2021 seja de paz, amor, muita saúde e vacina!

Ah, que tenha mtos TOUCHDOWNS também ",,https://pbs.twimg.com/media/EqmqRulXAAA9Hq3?format=jpg&name=small,,1,39
Donizete Arruda,@donizetearruda7,2020-12-31T23:57:24.000Z,"VENHA 2021!
Com qualquer vacina que nós livre desse maldito vírus.",,https://pbs.twimg.com/ext_tw_video_thumb/1344794421775233031/pu/img/aTUw5rpxj9p_0zR-.jpg,5,4,43
juliø,@ithegrayman,2020-12-31T23:55:58.000Z,"mano eu quero que tudo dê muito certo, que a pandemia acabe, que as vacinas sejam eficazes, que a vacina chegue logo e outro desejo muito pessoal, se eu conseguir reunir meu grupo do ensino médio novamente (eles são meu tudo ainda) eu vou ser a pessoa mais feliz desse mundo!!",,https://pbs.twimg.com/media/EqmrbiaXIAczo5A?format=jpg&name=small,,,4
Leandro Carneiro,@leandrocarneiro,2020-12-31T23:54:23.000Z,Isso. Tudo que desejo para todos. Vacina. Agulha. Seringa. Vida.,"Comentar o Tweet
André Hernan
@andrehernan
 · 31 de dez de 2020
Feliz vacinação pra todo mundo! Que as agulhadas sejam deliciosas como a vida deve ser! 
 #2021",https://pbs.twimg.com/profile_images/1297758958015385601/XP2FO0kH_mini.jpg,1,,2
Estadão,@Estadao,2021-01-01T23:00:01.000Z,"Sem máscara, Bolsonaro nada com banhistas e gera aglomeração em Praia Grande (SP)","Sem máscara, Bolsonaro nada com banhistas e gera aglomeração em Praia Grande (SP) - Saúde - Estadão
Presidente saltou de embarcação em direção a faixa de areia, aproximando-se de frequentadores e sem adotar medidas de distanciamento social
saude.estadao.com.br",https://pbs.twimg.com/card_img/1362909563771584514/z17E6cjc?format=jpg&name=small,"3,4 mil",498,"1,7 mil"
clara #forabolsonaro,@clarafrtdd,2021-01-01T23:52:32.000Z,"só quero paz, saúde, impeachment e vacina, o resto da pra correr atrás ",,https://pbs.twimg.com/media/Eqr0O2mXIAMd5Y1?format=jpg&name=360x360,1,,23
Blog do Noblat,@BlogdoNoblat,2021-01-01T23:53:07.000Z,"João Campos chora, declara-se a Tábata e promete luta por vacina no Recife - 01/01/2021 - UOL Notícias https://noticias.uol.com.br/politica/ultimas-noticias/2021/01/01/posse-joao-campos-recife.htm… 
@UOLNoticias
 #UOL","João Campos chora, declara-se a Tábata e promete luta por vacina no Recife [01/01/2021]
O novo prefeito do Recife, João Campos (PSB), 27, tomou posse no fim da tarde de hoje em u...
noticias.uol.com.br",https://pbs.twimg.com/card_img/1361317345503961091/y2DOryYu?format=png&name=small,28,15,124
garbage,@gabiagomes,2021-01-01T23:55:43.000Z,Acabou o corona já? ,,https://pbs.twimg.com/media/Eqr09ZmXIAwKPPi?format=jpg&name=small,4,,67
lilice,@psyzduck,2021-01-01T23:58:52.000Z,beijei todos que estavam na praia comemorando o fim do corona,"Comentar o Tweet
tori
@sinktulips
 · 1 de jan
qual foi a primeira coisa que vocês fizeram em 2021?
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1362892614064889858/xjbxBikz_mini.jpg,1,,11
Ana Carolina Lopes,@cagol,2021-01-01T23:58:26.000Z,Meu primo postou essa foto do meu avô e eu to morrendo de saudade!!! Kd essa vacina??,,https://pbs.twimg.com/media/Eqr1lTiXMAERtab?format=jpg&name=medium,,,3
joão,@olinonilo,2021-01-01T23:57:50.000Z,2021 VOCÊ PROMETEU QUE O CORONA IA ACABAR,GIF,https://pbs.twimg.com/tweet_video_thumb/Eqr1cgYXcAAY4v9.jpg,,1,3
Dados da COVID-19 no Brasil,@covid19brbot,2021-01-01T23:57:17.000Z," [ATUALIZAÇÃO] 
 Fonte: Secretarias Estaduais de Saúde (https://covid19br.wcota.me)
 Brasil tem 7.702.582 casos e 195.509 óbitos por #coronavirus.
 Aumento de 22.894 casos e 457 óbitos em relação ao dia anterior.",,https://pbs.twimg.com/media/Eqr1UsMW4AE0NGm?format=jpg&name=small,1,2,3
Episódio de Evangelion 2021,@JocaNog1,2021-01-01T23:57:09.000Z,olá vacina ,"Comentar o Tweet
Kayro63
@kaaay63
 · 1 de jan",https://pbs.twimg.com/profile_images/1361087671574159362/IGuqAFGK_mini.jpg,,1,3
Valentina,@valentinafsv_,2021-01-01T23:58:56.000Z,A vacina e tirar a poeira do passaporte MEU DEUS EU PRECISO,"Comentar o Tweet
𝙴𝚕𝚕𝚊
@lmjactiviste
 · 31 de dez de 2020
Que  2021 nos traga:",https://pbs.twimg.com/profile_images/1355919749629272068/bAm_SXPo_mini.jpg,,,3
