Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
A Crítica,@ACritica,2021-01-19T01:44:41.000Z,"VANDA ORTEGA FOI VACINADA! 
A primeira amazonense a ser vacinada é indígena e profissional da área da saúde! Viva a vacina! VIVA A CIÊNCIA!  

#VacinaNoAM #CompartilheACrítica",,https://pbs.twimg.com/ext_tw_video_thumb/1351344744748740611/pu/img/_Hmbn0NZsHR4ziRz.jpg,4,154,286
Secretaria Municipal de Saúde de Porto Alegre,@saudepoa,2021-01-19T02:05:48.000Z,"Essa é a dona Eloina, de 99 anos. Será a primeira idosa de Porto Alegre a receber a vacina contra a #Covid19",,https://pbs.twimg.com/ext_tw_video_thumb/1351350061876318213/pu/img/sQSTzRp5N_4KFKQt.jpg,8,117,574
Renan ᵍᶠᵇᵖᵃ,@Renan_Ribeiro97,2021-01-19T01:03:32.000Z,"Com a vacina aprovada 

Cenas como essas voltarão a ser normais:",,https://pbs.twimg.com/media/EsDngLPXAAUnHW_?format=jpg&name=360x360,2,32,176
Igor Guimarães,@igorzismo,2021-01-19T00:38:24.000Z,ESSA VACINA É MUITO BOA GRAÇAS A DEUS ! ANTES E DEPOIS,,https://pbs.twimg.com/media/EsDhwcdXYAARNFU?format=jpg&name=small,22,146,"1,2 mil"
Jornal Correio,@correio24horas,2021-01-19T01:57:20.000Z,"As primeiras 376 mil doses da vacina para a Bahia chegaram! A carga seguiu para a sede do Graer, de onde serão distribuídas as doses por todo o estado - 42 mil ficarão em Salvador enquanto as 332 mil restantes irão pra o interior.
Reprodução/Fábio Vilas-Boas",,https://pbs.twimg.com/ext_tw_video_thumb/1351347960001540102/pu/img/iIh37kO_5AMyOcRr.jpg,4,44,155
Penafort,@paulopenafort,2021-01-19T01:38:18.000Z,"PRIMEIRA AMAZONENSE A RECEBER A VACINA CONTRA A COVID-19
REPRESENTANDO O POVO INDÍGENA
QUE IMAGEM! ",,https://pbs.twimg.com/media/EsDveGhXMAMsW00?format=jpg&name=small,,37,91
Luizia,@najacacheada,2021-01-19T02:05:07.000Z,Alguém conseguiu ler o que tava escrito no cartão de vacina?,,https://pbs.twimg.com/media/EsD1nEDXUAMjCQG?format=jpg&name=900x900,,24,29
CoxaHumor,@CoxaHumor,2021-01-19T02:21:06.000Z,eu chegando no couto depois de tomar a vacina,,https://pbs.twimg.com/ext_tw_video_thumb/1351353703962456072/pu/img/Br-ppp8ECKYrVP6o.jpg,,15,52
Secretaria da Saúde,@SES_RS,2021-01-19T01:22:26.000Z,"Rio Grande do Sul recebe primeiras doses da vacina contra a Covid-19.
Governador Eduardo Leite e secretária Arita acompanham a chegada no Aeroporto Salgado Filho.",,https://pbs.twimg.com/media/EsDr1WbXIAADiOL?format=jpg&name=small,6,102,411
Jéferfon Menezes,@JefinhoMenes,2021-01-19T02:41:07.000Z,Se esse governo não consegue comprar vacina de país com fuso horário diferente então nossa única chance será comprar vacina da GROENLÂNDIA,,https://pbs.twimg.com/media/EsD9s6rW8AMHHrA?format=png&name=small,1,3,56
Diario de Pernambuco,@DiarioPE,2021-01-19T02:18:24.000Z," Penha Atiakum, enfermeira indígena da cidade de Carnaubeira da Penha, recebe dose de vacina no Hospital Oswaldo Cruz nesta segunda-feira (18). Ela é a segunda pessoa vacina do estado.",,https://pbs.twimg.com/media/EsD4mYKWMAAGcmC?format=jpg&name=small,,14,121
Vilão $$,@Ferreirasktt,2021-01-19T02:31:32.000Z,"Meu braço ta precisando de uma vacina

A vacina:",,https://pbs.twimg.com/media/EsD7p5tWMAAn07V?format=jpg&name=small,,9,10
Leonel Radde,@LeonelRadde,2021-01-19T01:52:49.000Z,"A vacina chegou ao Rio Grande do Sul! Apesar de todo o esforço dos negacionistas para atrapalhar, a ciência sempre vence! ",,https://pbs.twimg.com/media/EsDyyzzXMAMPRQZ?format=jpg&name=small,4,24,477
Jornal Correio,@correio24horas,2021-01-19T01:45:55.000Z,"EM SOLO BAIANO!!!

Primeiras doses da vacina contra covid-19 chegam à Bahia http://glo.bo/2NjpGKn

#correio24h",,https://pbs.twimg.com/ext_tw_video_thumb/1351345082490884099/pu/img/gLYWYoVeM88hjTSx.jpg,22,108,433
Mauricio Stycer,@mauriciostycer,2021-01-19T01:41:05.000Z,"Da 
@folha
 Grupo Boca Livre racha depois de discussão sobre vacina contra coronavírus","Grupo Boca Livre racha depois de discussão sobre vacina contra coronavírus - 18/01/2021 - Ilustrada...
Segundo músicos, divergências com Maurício Maestro já vinham acontencendo, mas tema da vacina foi gota d'água
folha.uol.com.br",https://pbs.twimg.com/card_img/1351308153263161344/JgkVSTfQ?format=jpg&name=small,12,17,67
Correio do Povo,@correio_dopovo,2021-01-19T02:19:11.000Z,URGENTE: Rio Grande do Sul aplica as primeiras doses da vacina contra a Covid-19,"AO VIVO
95 espectadores
Correio do Povo
@correio_dopovo
URGENTE: Rio Grande do Sul aplica as primeiras doses da vacina contra a Covid-19
pscp.tv",https://pbs.twimg.com/card_img/1351358824574308357/95iKpRZk?format=jpg&name=orig,2,30,89
esperando o dia D e a hr H,@neitanmoreira,2021-01-19T02:39:39.000Z,"É sobre esperança e felicidade.

No dia 18 de Março de 2020 aquilo se iniciava e uma palavra: “vacina” era apenas um dos nossos melhores e mais fictícios sonhos ... e hoje 18/01/2021 ela, de verdade, aterrissou em solo baiano e podemos soltar o grito de: A VACINA CHEGOU! ",,https://pbs.twimg.com/ext_tw_video_thumb/1351358592889315329/pu/img/4yp-h9_i4-Qcja5c.jpg,,1,3
Folha Poder,@folha_poder,2021-01-19T02:21:02.000Z,Bolsonaro condiciona democracia a militares em meio a pressão após derrota da vacina,"Bolsonaro condiciona democracia a militares em meio a pressão após derrota da vacina - 18/01/2021 -...
Apesar de insatisfação da cúpula militar com ministro da Saúde, presidente disse que pretende manter Pazuello, mas cobrou mudanças em reunião nesta segunda (18)
folha.uol.com.br",https://pbs.twimg.com/card_img/1349738699639062528/-YFaf6R_?format=jpg&name=small,15,10,42
