Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Eder Morselli,@edermorselli,2020-11-30T23:54:49.000Z,"A pandemia não acabou... Vamos nos proteger... 

#usemascara
 #mascarasalva #COVID19 #coronavirus",,https://pbs.twimg.com/media/EoHB4fVXMAEdkk5?format=jpg&name=small,0,1,1
V,@VR_SSC,2020-11-30T23:53:24.000Z,"Em resposta a 
@KooperHD",Os caras tacam capa variante logo quando a kugisaki ta na capa... aí vamo das duas né ,https://abs-0.twimg.com/emoji/v2/72x72/1f643.png,0,0,2
Lucas França,@FrancaComAmor,2020-11-30T23:53:32.000Z,"Publico na 
@RevistaEpoca
 um papo que tive a alegria de ter com a 
@TaschnerNatalia
 e o doutor Marcelo Otsuka. Falamos sobre grupos prioritários para vacinação contra o coronavirus, distribuição das doses. Minha colaboração para esse assunto tão importante.","Covid-19: Quem deve receber primeiro a vacina?
Enquanto governo federal elabora plano de distribuição, o que dizem especialistas sobre a estratégia a ser seguida após aval ao uso de imunizantes
epoca.globo.com",https://pbs.twimg.com/card_img/1362041936874512386/cNDgUhzn?format=jpg&name=small,0,6,27
calcinha chromatica,@fckwithmyselff,2020-11-30T23:52:55.000Z,eu só penso nela (a vacina),,https://pbs.twimg.com/media/EoHBcUKWEAEcXHx?format=jpg&name=small,1,4,4
Rafa_SCH,@RafaSCHk,2020-11-30T23:54:43.000Z,"Difícil, mas acho que pegaria a variante","Comentar o Tweet
Kooper // 110K no Youtube
@KooperHD
 · 30 de nov de 2020
Independente se vc coleciona ou não o mangá Jujutsu Kaisen
O volume 3 terá duas versões, uma com a capa original (Nobara) e uma com uma capa variante.
Você vai comprar/compraria qual versão? Ou compraria as duas?

(as capas estão no tweet abaixo)
Mostrar esta enquete",https://pbs.twimg.com/profile_images/1297639479684079620/8OzqZ__O_mini.jpg,0,0,1
sereia,@AnjinhoJuu,2020-11-30T23:55:54.000Z,"vai jacare jacare 
comprei um lança p baforar com ela","Comentar o Tweet
𝐩𝐞𝐝𝐫𝐨
@Crf_pedrolcs
 · 30 de nov de 2020",https://pbs.twimg.com/profile_images/1347719897120448514/6Tl2yj8D_mini.jpg,1,0,1
danka ୭̥⋆*｡,@offfluencer,2020-11-30T23:57:52.000Z,11 amigas p recriar essa dps da vacina?,,https://pbs.twimg.com/media/EoHClIRXMAUBcNM?format=jpg&name=small,6,0,13
amandoim,@lmxcncoarreaga,2020-11-30T23:46:30.000Z,"a vacina tá sendo desenvolvida rápido por conta da emergência e do grande investimento q tem.. vacina salva vidas.. é um processo mto foda até estar disponível pra gente.. não somos ratinhos.. se tomamos é pq tá aprovado
#afazenda12","Comentar o Tweet
CONTIGO!
@tocontigo
 · 30 de nov de 2020
A funkeira afirmou que não acredita que a vacina será desenvolvida tão rápido #AFazenda12

https://contigo.uol.com.br/noticias/a-fazenda/a-fazenda-jojo-todynho-garante-que-nao-tomara-vacina-contra-covid-19-ratinhos-de-laboratorio.phtml…",https://pbs.twimg.com/profile_images/925778444323082240/VmGYWVxw_mini.jpg,0,0,5
Victor Zenatti,@ZenattiVictor,2020-11-30T23:57:14.000Z,"Pra iniciar dezembro com energias ótimas, com tudo branquinho!
Alemanha se preparando pra vacina E para o natal! ",,https://pbs.twimg.com/media/EoHCcBaWEAMrHmL?format=jpg&name=medium,0,0,2
CNN Brasil,@CNNBrasil,2020-11-30T23:29:05.000Z,Documentos obtidos com exclusividade pela CNN revelam que a China conduziu de forma incorreta as fases iniciais de combate à Covid-19 https://cnnbrasil.com.br/internacional/2020/11/30/arquivos-vazados-revelam-conducao-incorreta-da-china-em-fases-iniciais-da-covid…,,https://pbs.twimg.com/media/EoG7_hWVkAMxG-Y?format=jpg&name=small,2100,2200,7800
