Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Elizandra Silva,@Elizand84274459,2021-01-19T03:32:11.000Z,"Em resposta a 
@CarlaZambelli38
 e 
@fiocruz","A verdadeira vacina ñ vejo a hora 
#QueroBolsonaroAte2026",https://abs-0.twimg.com/emoji/v2/svg/1f64c.svg,,,
Yuri,@eeeitadiacho,2021-01-19T03:32:10.000Z,"para ouvir na fila da vacina, incluindo os sucessos ""Aquecimento do Bota"", ""Bota tudão"" e ""Se você quer, tome""","Citar Tweet
cecília da abnt
@_ceciIia
 · 17 de jan
Nessa pré e na pós vacina eu vou viver nessa playlist
https://open.spotify.com/playlist/0aU8CX5a6sFodGRGRrUhuN?si=AAAcvQg4Qtyv2xQQqGtR5w…",https://pbs.twimg.com/profile_images/1348105867258945540/nECDqXrZ_mini.jpg,,,
Nath,@natharouche_,2021-01-19T03:32:05.000Z,eu tô só a Vera Holtz esperando liverar a vacina na minha cidade #vacina,,https://pbs.twimg.com/media/EsEJg4YXUAMWn3G?format=jpg&name=small,,,
Repórter Nordeste,@report_nordeste,2021-01-19T03:32:01.000Z,Como será a distribuição da vacina em Alagoas?,"Como será a distribuição da vacina em Alagoas?
Da Agência Alagoas O governador Renan Filho garantiu, na tarde desta segunda-feira (18), que as vacinas contra a Covid-19 serão distribuídas de maneira equânime aos municípios alagoanos, levando em...
reporternordeste.com.br",https://pbs.twimg.com/card_img/1351371792565346305/u0YTY5Pf?format=jpg&name=small,,,
Chega de dar palco a maluco!,@Cfranci59840708,2021-01-19T03:31:59.000Z,"@camaradeputados
 @SenadoFederal
 @STF_oficial
  @cartacapital
 @luisnassif
 acessem este perfil e tomem conhecimento do desastre que se prenuncia. Não esqueçam: a imunização da vacina não é imediata, nem longa. Todos estamos em perigo. ATITUDE, senhores!","Citar Tweet
Brasil Fede Covid
@brasilfedecovid
 · 4 h
Direto de Bauru (SP), mais uma festa contagiante 
 @une.bar (perfil do Instagram) estreando aqui.",https://pbs.twimg.com/profile_images/1347562171929137159/oaKK0luL_mini.jpg,,,
Edilson Laurentino,@sonlaurentino,2021-01-19T03:31:56.000Z,"O MINISTRO DA SAÚDE BRASILEIRO CONTINUA MENTINDO SOBRE OS PRAZOS!
Vacina da Índia: ‘Há possibilidade do Brasil ficar no fim da fila’, alerta especialista: https://br.sputniknews.com/opiniao/2021011916801598-vacina-da-india-ha-possibilidade-do-brasil-ficar-no-fim-da-fila-alerta-especialista/?utm_source=push&utm_medium=browser_notification&utm_campaign=sputnik_br… via 
@sputnik_brasil","Vacina da Índia: ‘Há possibilidade do Brasil ficar no fim da fila’, alerta especialista
Apesar de declarações otimistas do governo, o Brasil pode ""ficar no fim da fila"" para receber as doses da vacina de Oxford produzida no laboratório Serum, na Índia...
br.sputniknews.com",https://pbs.twimg.com/card_img/1351370440279805955/J7jH2M9C?format=jpg&name=small,,,
Carla: ANTIComunismo/ANTISocialismo,@CarlaZiva,2021-01-19T03:31:53.000Z,"@jdoriajr
 em Miami fazendo compras em loja chique  /  
@jdoriajr
  vendendo vacina chinesa em São Paulo 

É no mínimo NOJENTO!

#QueroBolsonaroAte2026 p continuar expondo o esgoto da hipocrisia desses vermes.","Citar Tweet
Carlos Jordy
@carlosjordy
 · 49 min
2:12
Quando você pensa que não tem como alguém ser mais sujo do que já foram usando politicamente a pandemia, o Doria cria todo um teatro para se promover às custas da vacina. Lugar garantido no inferno!",https://pbs.twimg.com/media/EsEJdvcXIAAcfzh?format=jpg&name=small,,,
Luiz Duzac,@duzac_luiz,2021-01-19T03:31:36.000Z,"Em resposta a 
@Rconstantino",O gado pira com a vacina!!! Vai toma cloroquina,https://abs-0.twimg.com/emoji/v2/svg/1f402.svg,,,
Qvs_sara,@QvsSara,2021-01-19T03:31:36.000Z,Toma essa vacina de uma vez meu,"Citar Tweet
Sport Club Internacional
@SCInternacional
 · 17 de jan
Só faltou vocês aqui! Ê saudade! 
Mostrar esta sequência
GIF",https://pbs.twimg.com/profile_images/1322914338928295939/AjWeFbXm_mini.jpg,,,
elson farias,@elsonfarias,2021-01-19T03:31:32.000Z,"Deu pra ti, SARS-CoV-2
Vamos pra vacina, tchau","Citar Tweet
Ciência USP
@cienciausp
 · 4 h
Dia 21 divulgadores de ciência, artistas, personalidades e projetos se unem em uma grande rede pela vacinação!

Junte-se também a @obscovid19br @analise_covid19
@UPVacina@projecthalo @ABRASCO @BlogsUnicamp  entre outros!

Saiba mais: http://bit.ly/38TH3JU

#TodosPelasVacinas",https://pbs.twimg.com/profile_images/1257328707519332352/1KugN6ML_mini.jpg,,,
